"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Alex Bregman","Astros","154","665","555","154","37","3","31","101","99","95","88","9","6","2",".278",".389",".521",".910",".381","-1.4","-0.2","6.0","40.3","17678"
"Jose Ramirez","Indians","154","665","574","160","42","3","34","103","105","78","98","6","26","8",".279",".369",".540",".908",".376","1.8","2.6","5.7","11.1","13510"
"Anthony Rendon","Angels","154","665","565","157","36","2","28","92","101","84","99","11","3","1",".278",".378",".500",".878",".367","3.5","0.4","5.5","41.0","12861"
"Matt Chapman","Athletics","151","651","574","142","35","5","36","94","98","63","173","8","2","2",".247",".329",".510",".839",".349","9.9","0.3","5.2","108.8","16505"
"Nolan Arenado","Cardinals","152","658","585","161","31","2","33","89","102","62","100","4","2","2",".275",".345",".505",".850",".350","8.0","0.0","4.6","30.2","9777"
"Manny Machado","Padres","156","672","596","162","30","2","36","93","115","66","115","3","10","5",".272",".345",".508",".852",".352","3.3","-0.2","4.3","19.6","11493"
"Rafael Devers","Red Sox","152","658","601","173","42","3","33","100","106","47","137","5","6","4",".288",".342",".529",".871",".360","-4.4","0.3","3.8","41.1","17350"
"Josh Donaldson","Twins","136","588","488","119","24","0","29","81","81","89","143","7","3","1",".244",".365",".471",".837",".355","1.1","-1.1","3.6","191.4","5038"
"Vladimir Guerrero Jr.","Blue Jays","144","623","558","160","33","4","28","85","99","56","97","5","3","1",".287",".355",".511",".866",".362","-0.3","-1.3","3.2","56.8","19611"
"Yoan Moncada","White Sox","147","637","564","144","27","5","24","84","81","63","188","4","8","4",".255",".333",".449",".781",".330","1.3","0.3","3.1","86.4","17232"
"Kris Bryant","Cubs","146","630","538","136","30","3","25","90","76","71","149","15","3","2",".253",".353",".461",".814",".345","-2.4","0.7","2.9","130.8","15429"
"Justin Turner","","130","560","485","135","28","2","20","75","74","55","91","14","2","0",".279",".366",".464",".831",".353","-2.5","-0.8","2.9","225.8","5235"
"Ke'Bryan Hayes","Pirates","136","588","523","142","33","5","16","74","65","54","118","5","9","3",".271",".342",".447",".789",".333","4.4","0.2","2.9","144.9","18577"
"Eugenio Suarez","Reds","156","672","577","140","24","2","37","88","109","80","184","9","4","2",".242",".341",".483",".824",".344","-1.7","-1.5","2.8","80.7","12552"
"Alec Bohm","Phillies","139","602","539","153","29","3","21","77","83","52","111","4","5","3",".283",".349",".464",".812",".343","-0.6","-0.5","2.8","999.0","21618"
"Brian Anderson","Marlins","154","665","584","147","31","3","23","77","85","61","160","16","3","2",".253",".337",".434",".771",".328","-0.7","-0.1","2.8","230.8","18289"
"Giovanny Urshela","Yankees","146","630","576","159","33","1","21","80","89","41","111","6","3","1",".277",".328",".445",".772",".326","0.7","-0.7","2.6","158.8","10681"
"Kyle Seager","Mariners","149","644","568","137","30","1","25","75","90","60","122","9","5","2",".241",".321",".430",".751",".316","-0.4","-0.8","2.3","264.1","9785"
"Miguel Sano","Twins","149","644","560","130","26","2","42","96","105","74","244","5","1","0",".231",".324",".510",".835",".345","-0.5","-0.9","2.1","195.0","12164"
"David Fletcher","Angels","151","651","593","165","33","3","8","78","54","46","71","3","8","3",".279",".333",".385",".718",".309","3.1","-0.1","2.1","226.5","17992"
"Mike Moustakas","Reds","146","630","563","142","29","1","35","78","104","54","119","8","3","1",".253",".324",".490",".814",".337","-5.7","-1.2","1.8","120.9","4892"
"Jeimer Candelario","Tigers","147","637","559","140","31","4","22","78","79","65","157","8","4","2",".250",".335",".441",".777",".330","4.9","-0.3","1.8","254.3","13621"
"Hunter Dozier","Royals","144","623","551","135","28","6","22","76","75","64","167","3","6","2",".245",".326",".437",".763",".323","-4.0","-0.6","1.6","234.2","15117"
"J.D. Davis","Mets","133","574","508","130","25","1","22","71","71","53","138","7","2","1",".256",".333",".438",".771",".327","-7.0","-1.0","1.5","221.2","16219"
"Austin Riley","Braves","144","623","566","141","28","3","31","80","97","45","176","6","1","1",".248",".309",".473",".782",".324","-3.1","-0.7","1.5","211.4","18360"
"Eduardo Escobar","Diamondbacks","141","609","553","139","28","6","22","72","81","45","120","4","3","2",".251",".309",".445",".754",".313","0.5","-0.4","1.3","324.7","6153"
"Tommy Edman","Cardinals","117","504","461","121","20","5","11","61","50","30","95","6","12","4",".263",".314",".398",".712",".304","2.0","0.9","1.3","131.4","19470"
"Rio Ruiz","Orioles","120","518","466","113","23","2","17","59","66","45","114","2","3","2",".242",".310",".411",".721",".306","1.6","-1.0","1.3","522.7","14103"
"Yandy Diaz","Rays","109","469","404","110","20","1","9","57","44","58","82","3","2","2",".272",".365",".391",".756",".329","0.0","-0.6","1.3","458.9","16578"
"Isaac Paredes","Tigers","112","483","435","114","21","2","12","52","50","37","78","5","3","2",".261",".324",".401",".725",".311","0.7","-0.4","1.3","541.6","20036"
"Tommy La Stella","","105","455","404","111","21","2","11","57","48","40","43","5","2","1",".275",".345",".419",".764",".327","-3.9","-0.3","1.2","317.8","12371"
"Carter Kieboom","Nationals","115","497","429","106","19","2","12","61","56","54","115","9","4","2",".248",".341",".382",".723",".314","-0.1","-0.7","1.0","462.1","19958"
"Ty France","Mariners","107","462","415","109","21","2","15","54","58","29","98","14","1","1",".261",".328",".432",".759",".323","-0.1","-0.9","1.0","333.2","17982"
"Travis Shaw","","75","322","279","64","13","0","14","38","42","38","85","2","2","1",".229",".324",".430",".754",".319","0.5","-0.5","0.8","561.9","11982"
"Evan Longoria","Giants","110","476","435","108","21","2","16","52","63","30","99","5","2","2",".249",".303",".414",".717",".302","0.8","-0.6","0.8","427.3","9368"
"David Bote","Cubs","102","441","385","90","17","2","15","52","58","45","121","6","5","2",".234",".321",".409",".730",".311","-0.7","0.3","0.8","502.8","14593"
"Maikel Franco","","113","490","446","113","24","1","19","54","68","37","76","2","1","0",".253",".310",".440",".750",".310","-2.9","-0.5","0.7","442.0","12179"
"Christian Arroyo","Red Sox","65","280","256","67","15","1","9","33","37","18","60","3","2","1",".260",".316",".431",".747",".315","-0.3","-0.2","0.7","598.4","16434"
"Wilmer Flores","Giants","71","308","284","79","16","1","11","37","43","18","42","3","1","0",".278",".325",".460",".785",".329","-1.5","-0.6","0.7","313.7","5827"
"Asdrubal Cabrera","","84","364","327","83","18","2","13","43","51","32","73","2","1","0",".255",".322",".437",".760",".320","-2.6","-1.2","0.7","518.7","4962"
"Nicholas Castellanos","Reds","146","630","571","148","39","4","27","84","86","47","158","6","3","2",".259",".321",".482",".803",".334","-8.4","-0.9","0.6","84.5","11737"
"Yoshitomo Tsutsugo","Rays","63","273","236","56","11","1","12","34","37","33","72","1","0","0",".236",".331",".441",".772",".326","0.0","-0.2","0.6","495.0","27459"
"Renato Nunez","","109","469","422","103","20","0","24","58","72","37","124","6","1","0",".244",".312",".462",".774",".325","0.1","-0.6","0.5","428.5","14503"
"Mike Brosseau","Rays","39","168","152","38","8","1","6","19","20","11","41","3","2","1",".252",".314",".427",".741",".314","1.0","-0.2","0.5","435.4","19683"
"Hanser Alberto","","52","224","212","61","11","1","4","26","22","6","24","2","2","1",".286",".311",".401",".712",".302","0.5","0.0","0.5","529.7","11902"
"Yolmer Sanchez","Orioles","71","308","275","69","14","3","5","33","28","25","62","3","4","3",".250",".317",".369",".686",".296","-0.3","-0.4","0.4","596.1","11602"
