"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Freddie Freeman","Braves","152","672","574","173","38","2","33","107","110","88","117","6","2",".301",".399",".545",".944",".397","12.1","5361"
"Cody Bellinger","Dodgers","143","623","537","148","30","3","36","97","98","80","115","12","4",".276",".371",".544",".915",".382","15.9","15998"
"Luke Voit","Yankees","142","599","527","139","22","1","35","88","94","61","149","0","0",".263",".349",".507",".855",".364","58.8","14811"
"Pete Alonso","Mets","143","626","544","134","24","1","40","88","103","64","165","2","1",".247",".341",".518",".859",".362","57.0","19251"
"Rhys Hoskins","Phillies","130","577","480","114","25","2","30","82","83","85","138","2","1",".238",".361",".484",".845",".362","162.9","16472"
"Paul Goldschmidt","Cardinals","148","639","547","147","27","2","28","86","81","84","144","3","1",".269",".369",".480",".849",".361","96.8","9218"
"Anthony Rizzo","Cubs","147","640","544","144","27","2","27","83","85","72","96","6","3",".265",".367",".472",".839",".357","103.3","3473"
"Max Muncy","Dodgers","141","601","499","118","20","1","31","91","85","91","152","3","1",".235",".359",".468",".827",".356","93.7","13301"
"Matt Olson","Athletics","146","615","533","127","24","1","38","80","97","72","171","1","1",".238",".337",".501",".838",".355","84.9","14344"
"Jose Abreu","White Sox","144","628","573","162","32","2","31","84","107","38","136","1","1",".283",".337",".507",".844",".354","36.5","15676"
"Brandon Belt","Giants","136","556","474","121","28","3","21","70","69","76","120","2","1",".256",".362",".458",".819",".353","389.4","10264"
"Josh Bell","Nationals","141","600","521","137","26","2","28","81","90","68","133","1","1",".262",".348",".484",".832",".351","161.8","13145"
"Nate Lowe","Rangers","108","437","382","99","19","1","19","57","58","49","120","3","1",".258",".346",".459",".805",".346","327.4","19566"
"Dominic Smith","Mets","133","531","481","129","30","2","23","70","78","41","125","1","1",".267",".331",".480",".811",".345","101.7","15653"
"Rowdy Tellez","Blue Jays","126","503","450","117","24","0","26","66","75","42","110","1","1",".260",".327",".489",".816",".345","266.0","15679"
"Daniel Vogelbach","Brewers","101","409","344","79","14","0","19","52","54","61","101","0","0",".229",".349",".440",".789",".343","573.0","14130"
"Joey Votto","Reds","135","590","499","127","25","1","20","78","63","84","115","1","1",".255",".366",".428",".794",".343","360.4","4314"
"Trey Mancini","Orioles","115","488","440","118","21","2","21","64","66","39","111","1","0",".268",".333",".470",".803",".342","167.8","15149"
"C.J. Cron","Tigers","111","454","407","100","19","1","25","58","67","34","117","1","1",".247",".320",".485",".805",".342","418.5","12546"
"Carlos Santana","Royals","141","601","504","122","24","1","22","76","75","90","96","1","1",".241",".358",".426",".783",".339","289.6","2396"
"Christian Walker","Diamondbacks","136","574","514","132","30","2","24","77","78","51","138","3","2",".257",".329",".461",".790",".338","202.8","13419"
"Wilmer Flores","Giants","101","405","373","103","21","1","17","48","54","24","56","1","1",".276",".325",".471",".796",".338","313.7","5827"
"Wil Myers","Padres","139","567","507","127","27","2","26","75","78","53","164","10","4",".250",".325",".466",".791",".336","127.1","10047"
"Ji-Man Choi","Rays","110","438","372","90","21","1","16","52","55","55","105","2","1",".243",".342",".434",".776",".335","530.4","5452"
"Jared Walsh","Angels","122","491","441","113","23","2","22","64","70","38","126","1","0",".255",".319",".471",".790",".335","211.2","18607"
"Ryan Mountcastle","Orioles","131","547","506","141","26","2","21","62","74","31","123","2","1",".280",".323",".460",".784",".333","140.1","18373"
"Garrett Cooper","Marlins","95","393","355","94","18","1","14","49","50","32","95","0","0",".266",".334",".437",".771",".333","434.6","15279"
"Bobby Dalbec","Red Sox","127","522","460","107","20","1","27","65","73","52","184","2","1",".231",".319",".458",".776",".332","287.7","19966"
"Hunter Dozier","Royals","139","586","519","128","27","5","22","73","68","61","155","7","2",".247",".328",".442",".770",".332","234.2","15117"
"Jesus Aguilar","Marlins","127","511","445","112","20","0","20","62","71","53","111","0","0",".251",".332",".437",".769",".330","318.3","11342"
"Mitch Moreland","","97","383","339","81","15","1","19","49","58","38","87","0","0",".239",".319",".457",".775",".326","565.7","3086"
"Mike Ford","Yankees","48","181","160","37","8","0","8","22","25","18","35","0","0",".234",".318",".434",".752",".324","599.5","15585"
"Darin Ruf","Giants","47","181","161","39","8","0","6","21","23","18","42","1","1",".243",".326",".419",".745",".323","596.0","9929"
"Austin Nola","Padres","111","440","391","99","20","2","13","52","55","40","90","1","1",".254",".329",".415",".744",".323","159.8","15941"
